"Bhutan","47","<70","27.5075 90.4695","Bhutan"
"Honduras","47","<70","14.8229 -86.5899","Honduras"
"Grenada","48","<70","12.1178 -61.6791","Grenada"
"Viet Nam","48","<70","21.5866 105.3047","Viet Nam"
"Peru","51","<70","-13.1699 -73.0464","Peru"
"Trinidad and Tobago","54","<70","10.4282 -61.3304","Trinidad and Tobago"
"Ecuador","55","<70","-1.4547 -78.3841","Ecuador"
"Saint Vincent and the Grenadines","56","<70","13.2566 -61.1938","Saint Vincent and the Grenadines"
"Paraguay","58","<70","-21.9074 -60.1206","Paraguay"
"Colombia","59","<70","3.6525 -73.3121","Colombia"
"Libya","59","<70","25.9354 20.7569","Libya"
"Nicaragua","60","<70","12.8482 -85.0204","Nicaragua"
"Algeria","62","<70","27.5231 3.1685","Algeria"
"Iraq","66","<70","33.242 42.935","Iraq"
"Mauritius","66","<70","-20.2793 57.5696","Mauritius"
"Belize","67","<70","17.197 -88.7035","Belize"
"Brazil","67","<70","-12.4328 -48.9943","Brazil"
"Democratic People’s Republic of Korea","67","<70","39.6627 126.2592","Democratic People's Republic of Korea"
"Tonga","67","<70","-21.1655 -175.2625","Tonga"
"Morocco","70","[70-120)","31.7 -7.1325","Morocco"
"Saint Kitts and Nevis","74","[70-120)","17.3322 -62.7583","Saint Kitts and Nevis"
"Guyana","75","[70-120)","4.8175 -58.9745","Guyana"
"Sao Tome and Principe","75","[70-120)","0.2356 6.6075","Sao Tome and Principe"
"Bahamas","76","[70-120)","24.5065 -77.916","Bahamas"
"India","80","[70-120)","22.5754 78.8386","India"
"Kiribati","80","[70-120)","1.8719 202.6221","Kiribati"
"Philippines","84","[70-120)","17.3711 121.4954","Philippines"
"Suriname","84","[70-120)","4.1199 -55.9116","Suriname"
"Zambia","85","[70-120)","-14.9226 26.1418","Zambia"
"Palau","89","[70-120)","7.5364 134.583","Palau"
"Guatemala","94","[70-120)","15.2365 -90.7275","Guatemala"
"Mozambique","82","[70-120)","-13.497 38.127","Mozambique"
"Vanuatu","100","[70-120)","-15.296 166.885","Vanuatu"
"Samoa","101","[70-120)","-13.6305 -172.4382","Samoa"
"Lao People’s Democratic Republic","112","[70-120)","19.9325 102.4435","Lao People's Democratic Republic"
"Bangladesh","115","[70-120)","23.5391 89.8049","Bangladesh"
"South Africa","118","[70-120)","-29.6482 23.1067","South Africa"
"Eswatini","118","[70-120)","-26.4899 31.3955","Eswatini"
"Yemen","118","[70-120)","15.3921 45.4111","Yemen"
"Solomon Islands","123","[120-160)","-8.7054 159.1071","Solomon Islands"
"Dominican Republic","124","[120-160)","18.8845 -70.4623","Dominican Republic"
"Micronesia (Federated States of)","129","[120-160)","6.8827 158.234","Micronesia (Federated States of)"
"Jamaica","130","[120-160)","18.1125 -77.269","Jamaica"
"Cambodia","137","[120-160)","12.5285 104.3905","Cambodia"
"Namibia","139","[120-160)","-20.7238 17.0299","Namibia"
"Indonesia","140","[120-160)","-0.9517 114.2118","Indonesia"
"Nepal","142","[120-160)","28.9136 81.5974","Nepal"
"Bolivia","146","[120-160)","-16.7289 -64.6413","Bolivia (Plurinational State of)"
"Botswana","155","[120-160)","-21.6721 23.9051","Botswana"
"Marshall Islands","155","[120-160)","8.2308 167.7953","Marshall Islands"
"Pakistan","155","[120-160)","29.3252 68.7733","Pakistan"
"Djibouti","162","[160-220)","12.169 42.904","Djibouti"
"Tuvalu","170","[160-220)","-8.5042 179.2049","Tuvalu"
"Uganda","170","[160-220)","1.9676 32.9896","Uganda"
"Equatorial Guinea","174","[160-220)","1.647 10.2955","Equatorial Guinea"
"Comoros","179","[160-220)","-11.79 43.356","Comoros"
"Angola","183","[160-220)","-12.2916 17.5029","Angola"
"Myanmar","185","[160-220)","21.5841 96.1867","Myanmar"
"Papua New Guinea","189","[160-220)","-6.1227 143.5162","Papua New Guinea"
"Timor-Leste","192","[160-220)","-8.7676 125.9664","Timor-Leste"
"Ethiopia","195","[160-220)","8.83 38.362","Ethiopia"
"Malawi","225","[220-1000)","-13.3315 33.8445","Malawi"
"Venezuela","227","[220-1000)","7.1583 -64.0124","Venezuela (Bolivarian Republic of)"
"Rwanda","229","[220-1000)","-2.0136 29.9188","Rwanda"
"Gabon","233","[220-1000)","-0.647 11.6875","Gabon"
"Ghana","234","[220-1000)","6.862 -1.092","Ghana"
"Senegal","237","[220-1000)","14.9983 -14.9588","Senegal"
"Congo","241","[220-1000)","0.0213 16.1533","Congo"
"Burkina Faso","242","[220-1000)","13.0516 -0.6541","Burkina Faso"
"Sudan","256","[220-1000)","16.5644 29.0451","Sudan"
"Cameroon","258","[220-1000)","4.5495 11.3105","Cameroon"
"Nauru","273","[220-1000)","-0.521 166.9325","Nauru"
"Tanzania","276","[220-1000)","-5.6989 34.2839","United Republic of Tanzania"
"Eritrea","291","[220-1000)","15.9194 38.4016","Eritrea"
"Haiti","328","[220-1000)","19.4448 -72.1017","Haiti"
"Togo","349","[220-1000)","8.8015 0.9075","Togo"
"Niger","350","[220-1000)","17.3457 9.3245","Niger"
"Gambia","354","[220-1000)","13.5035 -14.2265","Gambia"
"Sierra Leone","354","[220-1000)","8.5306 -11.7953","Sierra Leone"
"Zimbabwe","358","[220-1000)","-18.907 29.7885","Zimbabwe"
"Côte d’Ivoire","359","[220-1000)","7.5538 -5.6121","Côte d'Ivoire"
"Mali","367","[220-1000)","18.4654 -1.9417","Mali"
"Kenya","379","[220-1000)","0.4145 37.8745","Kenya"
"Mauritania","381","[220-1000)","19.1695 -9.4755","Mauritania"
"Burundi","392","[220-1000)","-3.407 29.8885","Burundi"
"Democratic Republic of the Congo","427","[220-1000)","-1.6864 23.7526","Democratic Republic of the Congo"
"Madagascar","445","[220-1000)","-18.821 46.8655","Madagascar"
"Lesotho","478","[220-1000)","-29.6255 28.1698","Lesotho"
"Guinea","494","[220-1000)","10.6071 -13.1511","Guinea"
"Guinea-Bissau","505","[220-1000)","12.0227 -15.1106","Guinea-Bissau"
"Benin","518","[220-1000)","10.6795 2.2845","Benin"
"Afghanistan","521","[220-1000)","34.4754 66.8303","Afghanistan"
"Somalia","563","[220-1000)","2.7588 42.8849","Somalia"
"Liberia","628","[220-1000)","6.7929 -9.9769","Liberia"
"Central African Republic","692","[220-1000)","7.2596 21.6691","Central African Republic"
"South Sudan","692","[220-1000)","7.2928 30.1985","South Sudan"
"Chad","748","[220-1000)","17.1223 19.3602","Chad"
"Nigeria","993","[220-1000)","9.6551 8.1061","Nigeria"
