Algorithm,Accuracy,Balanced_Accuracy,F1_Score
Random Forest,0.9875518672199171,0.98788752703677,0.9875630654106479
XGBoost,0.9875518672199171,0.98788752703677,0.9875630654106479
Decision Tree,0.975103734439834,0.9739365537130498,0.975103734439834
Gaussian Naive Bayes,0.9543568464730291,0.9586517664023071,0.9546072354887261
Support Vector Machine (RBF),0.9543568464730291,0.9568132660418169,0.9545444266626334
